INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER
700153,DOM,2013,4001125,,
700153,ECU,2013,6660040,,
700153,ECU,2015,6957891.60000,,
700153,ESP,2014,16827558,,
700153,ESP,2015,17331519,,
700153,EST,2014,597490,,
700153,EST,2015,610212,,
700153,FIN,2014,2339500,,
700153,FIN,2015,2310411,,
700153,FRA,2014,25703672,,
700153,FRA,2015,25774503,,
700153,GHA,2014,11763294,,
700153,GRC,2015,3530100,,
700153,HND,2010,3068614,,
700153,HND,2015,3365365.66059,,
700153,HRV,2015,1495509,,
700153,HUN,2014,4001430,,
700153,HUN,2015,4101032.17628,,
700153,ISL,2015,172100,,
700153,ISR,2014,3445417,,
700153,ITA,2014,21743124,,
700153,ITA,2015,21924430,,
700153,KOR,2014,24967000,,
700153,KOR,2015,25172000,,
700153,LKA,2015,7730673.57227,,
700153,LTU,2014,1278482,,
700153,LTU,2015,1295197,,
700153,LUX,2014,224006,,
700153,LUX,2015,233597,,
700153,LVA,2014,844500,,
700153,LVA,2015,857000,,
700153,MAC,2014,375400,,
700153,MAC,2015,383400,,
